timestamp,cpu_total_pct,cpu_core_min,cpu_core_max,cpu_cores_csv,cpu_freq_min_mhz,cpu_freq_max_mhz,cpu_freq_csv,igpu_pct,igpu_ded_mb,igpu_shared_mb,nvidia_gpu_pct,nvidia_mem_pct,nvidia_mem_used_mb,nvidia_mem_total_mb,nvidia_temp_c,nvidia_power_w,nvidia_sm_clk_mhz,nvidia_mem_clk_mhz,nvidia_pcie_gen,nvidia_pcie_width,nvidia_throttle,nvidia_pcie_rx_kbs,nvidia_pcie_tx_kbs,nvidia_pstate,nvidia_power_limit_w,nvidia_sm_clk_max_mhz,nvidia_mem_clk_max_mhz,nvidia_sm_clk_eff_pct,nvidia_mem_clk_eff_pct,nvidia_power_eff_pct,npu_pct,npu_ded_mb,npu_shared_mb,npu_process_count,npu_infer_ms,cpu_throttle_pct,soc_temp_c,rapl_cpu_w,rapl_igpu_w,rapl_npu_w,rapl_soc_w,ram_used_gb,ram_total_gb,l0_gpu_busy,l0_xve_active,l0_xve_stall,l0_xve_occupancy,l0_l3_stall,l0_gpu_freq_mhz,l0_mem_read_gbs,l0_mem_write_gbs,l0_compute_busy,l0_copy_busy,l0_render_busy,zes_gpu_busy,zes_compute_busy,zes_render_busy,zes_copy_busy,zes_media_busy,zes_freq_mhz,zes_mem_used_mb,zes_temp_c,zes_power_w,dram_read_gbs,dram_write_gbs,dram_total_gbs,l3miss_millions,ia_dram_bw_gbs,nonia_dram_bw_gbs,bw_source,dram_page_hit_rate_rd,dram_page_hit_rate_wr,dram_rd_latency_imc_clks,dram_rd_latency_ns,imc_freq_ghz
2026-09-25 10:55:29.657,20.3,0,100,33;67;0;67;0;100;0;0;0;33;0;0;0;25;0;0,1365,4657,4462;4449;4657;4590;1742;3086;3214;2094;1365;3017;3311;1834;1457;1491;1573;1672,5.9,0.0,839.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,65.1,0.0,0.0,0.0,0.0,14.2,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:30.658,10.2,0,88,8;26;5;88;0;14;2;0;0;11;2;0;0;9;0;0,997,4675,4485;4225;4663;4675;1492;2812;3144;2096;1452;2742;2942;2324;997;1553;1143;1047,5.9,0.0,839.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,68.1,0.0,0.0,0.0,0.0,14.2,63.4,85.7795151389219,0.26361380847118654,7.0660664885439335,3.151608086943148,0.7323279223920912,1092.3155080213903,0.0,0.0,0.0,0.0,54.02855051763077,0.0,0.0,0.0,0.0,0.0,450.0,839.9,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:31.658,12.6,2,89,11;32;9;89;3;12;6;2;5;6;5;2;5;6;5;5,1636,4711,4612;4457;4711;4673;3136;2941;3130;3198;3182;2860;2991;2975;2076;2010;1636;2270,0.7,0.0,832.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,67.1,18.71,0.22,0.4,23.27,14.2,63.4,81.2957760545074,0.02660916300922762,1.392578675732261,0.48786843013109976,0.21908528296673885,1066.2131147540983,0.0,0.0,0.0,0.0,51.15904121210829,0.4,0.0,0.0,0.0,0.0,450.0,832.5,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:32.659,14.2,0,83,19;34;9;83;0;27;6;2;0;27;0;0;0;15;3;2,970,4706,4498;4279;4706;4631;3311;2838;2905;3364;1177;2771;3152;2726;970;1472;1167;1067,2.5,0.0,838.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,63.1,18.71,0.22,0.4,23.27,14.3,63.4,77.70615434091667,2.3468320671870404,23.853447366582937,22.915886217946635,1.2878986783247393,1132.7931034482758,0.0,0.0,0.0,0.0,52.01382846050286,0.3,0.0,0.0,0.0,0.0,450.0,834.0,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:33.659,18.8,0,88,33;60;14;88;3;25;8;6;2;20;9;6;0;22;3;2,1313,4710,4688;4552;4710;4651;3364;2851;3330;3401;3430;3009;3289;3415;2767;1710;2562;1313,6.4,0.0,850.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,67.1,18.71,0.22,0.4,23.27,14.4,63.4,79.23781402649418,0.03405074036662324,1.0450759093847968,0.49106826564492356,0.08670947244090418,1097.3870967741937,0.0,0.0,0.0,0.0,51.89622915295824,0.7,0.0,0.0,0.0,0.0,450.0,841.1,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:34.659,19.7,2,94,30;70;17;94;3;30;8;6;5;23;5;6;3;11;2;3,1742,4709,4693;4631;4702;4709;3397;3158;3387;3406;3418;3231;3401;3381;2825;1742;2043;2780,1.2,0.0,855.3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,64.1,18.71,0.22,0.4,23.27,15.7,63.4,85.22848350443739,0.2874240649373647,3.87746694810847,2.8040797914120743,0.31810089352446547,1049.2659574468084,0.0,0.0,0.0,0.0,53.59300515959237,0.4,0.0,0.0,0.0,0.0,450.0,852.7,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:35.660,20.6,0,91,46;39;20;91;6;25;12;3;3;42;3;5;0;31;3;0,2244,4673,4618;4516;4636;4673;3369;3112;3361;3397;3390;3212;3279;3399;2744;2244;2666;2499,5.8,0.0,2604.6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,65.1,20.98,0.34,0.4,25.93,17.6,63.4,80.57664120385027,2.563563391764274,18.43742429403456,17.35601835418126,0.35296508285195677,1191.716535433071,0.0,0.0,0.0,0.0,54.287125576558836,0.6,0.0,0.0,0.0,0.0,450.0,1958.7,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:36.661,26.1,0,82,31;47;16;82;11;31;19;25;11;37;15;22;0;58;12;0,2379,4652,4633;4501;4651;4652;3351;3213;3325;3353;3346;3229;3372;3364;2430;2856;2804;2379,6.9,0.0,4844.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,58.1,20.98,0.34,0.4,25.93,18.6,63.4,78.99041013608034,3.2038311243852977,30.879553268695698,30.20307490295263,1.4264378859716158,1309.727969348659,0.0,0.0,1.1501095272115365,0.08769498656992711,50.069604809321035,1.8,0.0,0.0,0.0,0.0,450.0,3981.2,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:37.661,7.3,0,38,12;24;6;38;0;14;2;2;2;11;2;2;0;2;2;0,1080,4228,4228;3354;4181;4051;2568;2009;2736;2904;3106;2160;3061;2949;1148;1540;2006;1080,6.5,0.0,4875.7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,43.1,20.98,0.34,0.4,25.93,18.4,63.4,77.51196825136697,0.7629261156372287,9.720434408716956,8.591722067326536,0.5656174939805422,1189.7488986784142,0.0,0.0,0.0,0.0,50.91304127074417,1.6,0.0,0.0,0.0,0.0,450.0,4871.9,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:38.662,4.3,0,30,5;12;0;30;0;8;3;0;0;3;2;0;0;5;2;0,1082,3196,2583;2678;3011;3196;1447;1403;1192;1254;2083;1495;1241;1354;1175;1182;1101;1082,3.4,0.0,4874.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,37.1,20.98,0.34,0.4,25.93,18.4,63.4,76.13629156413832,0.28417226320322553,6.020146063950501,3.7605733934446777,0.4679614599397418,1116.3684210526317,0.0,0.0,0.0,0.0,51.339827041955374,0.6,0.2,0.0,0.0,0.0,450.0,4874.0,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:39.662,5.0,0,26,25;3;0;26;0;0;11;3;0;0;8;0;0;0;5;0,911,3236,2280;2468;3236;3207;1028;930;1160;1104;917;911;1203;1121;1006;1110;1138;1162,2.2,0.0,4873.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,36.1,11.9,0.31,0.35,16.13,18.4,63.4,97.4810727776833,0.10880968001477863,2.4412007168369385,1.5090940459857431,0.23589623270972263,1118.6601941747572,0.0,0.0,0.0,0.0,53.7477879163999,0.4,0.0,0.0,0.0,0.0,450.0,4870.5,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:40.662,5.5,0,34,23;2;2;34;0;0;14;0;0;0;5;0;3;2;5;0,1109,3461,2591;3276;3461;3344;1211;1183;1447;1197;1168;1175;1556;1190;1140;1665;1109;1142,3.8,0.0,4848.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,34.1,11.9,0.31,0.35,16.13,18.4,63.4,97.47066810482838,0.27002571557159916,3.3988697283336373,2.6077599435983623,0.26182311256015367,1133.4262295081967,0.0,0.0,0.0,0.0,51.10479106342858,0.3,0.0,0.0,0.0,0.0,450.0,4870.5,0.0,0.0,,,,,,,,,,,,
2026-09-25 10:55:41.663,5.6,0,27,23;3;0;27;0;0;18;2;0;0;9;0;6;0;0;2,967,3435,2431;2836;2758;3435;1242;1233;1365;1131;1209;1105;1419;1193;1039;967;1131;1159,1.8,0.0,4822.2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,32.1,11.9,0.31,0.35,16.13,18.4,63.4,97.61834683038492,0.02855925602617929,1.8221831569629432,0.7798729618862931,0.2344312649385064,1125.9911504424779,0.0,0.0,0.0,0.0,52.06932315784218,0.4,0.0,0.0,0.0,0.0,450.0,4832.9,0.0,0.0,,,,,,,,,,,,
